Region,RegionCode,YearCode,avh,emp,rgdpo,avh_emp,productivity
East Asia and Pacific,AUS,1960,1978.31081824291,4.15540218353271,165417.390625,8220.677093832972,20.12211266017171
East Asia and Pacific,AUS,1970,1942.11595280387,5.47068738937378,275288.375,10624.709251705775,25.910203138575582
East Asia and Pacific,AUS,1980,1909.76282731007,6.27751445770264,360221.0625,11988.563759222036,30.04705732351842
East Asia and Pacific,AUS,1990,1863.95976066404,7.84548377990723,507688.34375,14623.666068689488,34.71689939891365
East Asia and Pacific,AUS,2000,1847.48006809129,8.90264701843262,746957.875,16447.462919806618,45.414777868292795
East Asia and Pacific,AUS,2010,1763.32278712918,11.1212606430054,1112653.5,19610.372313414337,56.738009978469265
East Asia and Pacific,AUS,2019,1726.79765901284,12.8631744384766,1364690.5,22212.099507835195,61.43905935225137
East Asia and Pacific,BRN,1960,2080.0,0.0656516551971436,8939.9345703125,136.55544281005868,65.46743495788353
East Asia and Pacific,BRN,1970,2080.0,0.0656516551971436,8939.9345703125,136.55544281005868,65.46743495788353
East Asia and Pacific,BRN,1980,2080.0,0.0656516551971436,19848.16015625,136.55544281005868,145.34872977459955
East Asia and Pacific,BRN,1990,2080.0,0.102137021720409,15687.982421875,212.44500517845074,73.84491063321221
East Asia and Pacific,BRN,2000,2080.0,0.142363786697388,20156.369140625,296.11667633056703,68.06901046708909
East Asia and Pacific,BRN,2010,2080.0,0.179045662283897,31852.8359375,372.4149775505058,85.5304911392298
East Asia and Pacific,BRN,2019,2080.0,0.222358033061028,31728.357421875,462.5047087669382,68.60115544869686
East Asia and Pacific,CHN,1960,1976.31198565754,295.659332275391,652488.4375,584315.0820473604,1.11667225020749
East Asia and Pacific,CHN,1970,1976.31198565754,360.95639038085903,1069586.375,713362.4406093736,1.4993589711372106
East Asia and Pacific,CHN,1980,1971.49673892565,484.668853759766,1678260.625,955523.0646462116,1.7563789793199671
East Asia and Pacific,CHN,1990,1975.35399295742,660.476501464844,2856112.25,1304674.8944231267,2.1891371269643805
East Asia and Pacific,CHN,2000,2090.47531061941,735.7231445312499,5419636.5,1538011.0690938535,3.5237955102579823
East Asia and Pacific,CHN,2010,2172.71018311543,781.035522460938,13846498.0,1696963.83302576,8.159571659998843
East Asia and Pacific,CHN,2019,2168.91884848016,798.807739257813,20256792.0,1732549.1619880954,11.691900261436384
East Asia and Pacific,FJI,1960,2080.0,0.207164764404297,1226.65368652344,430.9027099609378,2.846706827707439
East Asia and Pacific,FJI,1970,2080.0,0.207164764404297,2200.97534179688,430.9027099609378,5.107824320706646
East Asia and Pacific,FJI,1980,2080.0,0.207164764404297,4077.80737304688,430.9027099609378,9.463406190730483
East Asia and Pacific,FJI,1990,2080.0,0.25507864356041,5056.31640625,530.5635786056528,9.530085761895396
East Asia and Pacific,FJI,2000,2080.0,0.290019422769547,5427.53564453125,603.2403993606578,8.997301325116164
East Asia and Pacific,FJI,2010,2080.0,0.282317191362381,7452.026367187501,587.2197580337524,12.69035359460635
East Asia and Pacific,FJI,2019,2080.0,0.308247536420822,12231.2509765625,641.1548757553097,19.076905501425887
East Asia and Pacific,HKG,1960,2723.59091967314,1.10783755779266,17933.89453125,3017.296312876956,5.943696830408494
East Asia and Pacific,HKG,1970,2528.31492948665,1.54139626026154,40288.0,3897.1351770741417,10.337850284743544
East Asia and Pacific,HKG,1980,2477.28901872659,2.25394606590271,94755.703125,5583.675837862782,16.970129691710195
East Asia and Pacific,HKG,1990,2278.52184934495,2.73075985908508,187019.546875,6222.096004239492,30.05732260440408
East Asia and Pacific,HKG,2000,2330.66707633014,3.20262169837952,291676.40625,7464.244950353664,39.07647835648535
East Asia and Pacific,HKG,2010,2302.08001851443,3.49387335777283,385302.84375,8043.1760441487495,47.904315613022064
East Asia and Pacific,HKG,2019,2147.57436171632,3.8638103008270304,407229.09375,8297.819940591551,49.07663659437863
East Asia and Pacific,IDN,1960,1893.49520960022,28.4989528656006,131127.015625,53962.6307296372,2.4299596563772194
East Asia and Pacific,IDN,1970,1893.49520960022,34.0220184326172,151535.109375,64420.52892309106,2.3522798075115365
East Asia and Pacific,IDN,1980,2005.73302253159,45.5106163024902,356583.125,91282.14599366912,3.9063841139835915
East Asia and Pacific,IDN,1990,1909.30214737919,73.6910095214844,625975.0,140698.4027219105,4.449055482436681
East Asia and Pacific,IDN,2000,1979.1156899085,91.54851531982419,794026.375,181185.10305729273,4.382404301466882
East Asia and Pacific,IDN,2010,2066.00066002697,108.154747009277,1977653.125,223447.77870621622,8.850627813132888
East Asia and Pacific,IDN,2019,2019.92339539505,131.170684814453,3138225.5,264954.73504670383,11.844383530065322
East Asia and Pacific,JPN,1960,2172.89893267914,47.9105796813965,517809.59375,104104.84745374536,4.973923947009932
East Asia and Pacific,JPN,1970,2137.21731639745,55.0172424316406,1366272.75,117583.80322533882,11.619565897028018
East Asia and Pacific,JPN,1980,2073.94376055755,59.4690170288086,2456278.75,123335.39681338829,19.915440445020455
East Asia and Pacific,JPN,1990,2028.41875,65.1040191650391,3657952.5,132058.21317472466,27.699545617508896
East Asia and Pacific,JPN,2000,1858.5,65.9155044555664,4834201.0,122503.96503067017,39.461588029332
East Asia and Pacific,JPN,2010,1779.3,66.0146179199219,5113679.5,117459.80966491703,43.53556773664138
East Asia and Pacific,JPN,2019,1691.08525950385,69.976692199707,5035847.5,118336.55268776255,42.55529999498429
East Asia and Pacific,KHM,1960,2296.89080399973,2.89667224884033,12698.0908203125,6653.339850562571,1.9085288149287636
East Asia and Pacific,KHM,1970,2296.89080399973,2.89667224884033,12698.0908203125,6653.339850562571,1.9085288149287636
East Asia and Pacific,KHM,1980,2296.89080399973,2.93304443359375,5988.48828125,6736.882787244082,0.8889108613539892
East Asia and Pacific,KHM,1990,2296.89080399973,3.70709538459778,10108.625,8514.793298432483,1.1871838394316547
East Asia and Pacific,KHM,2000,2296.89080399973,5.22639036178589,16984.59765625,12004.447960098832,1.4148587017665881
East Asia and Pacific,KHM,2010,2390.16200061907,7.58764886856079,35351.30859375,18135.709999674284,1.9492652118050469
East Asia and Pacific,KHM,2019,2474.91189335301,8.73146343231201,74169.625,21609.602695005888,3.432253061142168
East Asia and Pacific,KOR,1960,2748.84246781438,6.7794680595397905,31080.904296875,18635.689711254126,1.6678161516128478
East Asia and Pacific,KOR,1970,2918.92744374977,9.65664768218994,71165.6640625,28187.053934166823,2.524764178218598
East Asia and Pacific,KOR,1980,2860.94201390371,13.7304582595825,205962.171875,39282.04490499079,5.243163190031191
East Asia and Pacific,KOR,1990,2674.14167989537,18.2060832977295,592997.375,48685.6461741054,12.180127442067299
East Asia and Pacific,KOR,2000,2509.31785577026,21.4411239624023,1176427.75,53802.59520663968,21.865632047705
East Asia and Pacific,KOR,2010,2153.4132477281,24.0287208557129,1779743.0,51743.76581665265,34.39531259294674
East Asia and Pacific,KOR,2019,1979.52625757352,26.7985343933105,2162341.0,53048.4024960452,40.7616610162993
East Asia and Pacific,LAO,1960,2080.0,1.47735559940338,2081.98461914063,3072.8996467590305,0.6775309507215724
East Asia and Pacific,LAO,1970,2080.0,1.47735559940338,2081.98461914063,3072.8996467590305,0.6775309507215724
East Asia and Pacific,LAO,1980,2080.0,1.47735559940338,2978.09643554688,3072.8996467590305,0.9691486146278356
East Asia and Pacific,LAO,1990,2080.0,1.91548979282379,6010.3291015625,3984.218769073483,1.5085339058728902
East Asia and Pacific,LAO,2000,2080.0,2.49976420402527,10485.7529296875,5199.509544372561,2.016681158136588
East Asia and Pacific,LAO,2010,2080.0,3.1165771484375,27932.66796875,6482.48046875,4.308947493695447
East Asia and Pacific,LAO,2019,2080.0,3.61881804466248,54376.09765625,7527.141532897958,7.224003616591375
East Asia and Pacific,MAC,1960,2080.0,0.113492041826248,1565.71276855469,236.06344699859585,6.632593010318972
East Asia and Pacific,MAC,1970,2080.0,0.113492041826248,1565.71276855469,236.06344699859585,6.632593010318972
East Asia and Pacific,MAC,1980,2080.0,0.113492041826248,3554.47412109375,236.06344699859585,15.057282973229196
East Asia and Pacific,MAC,1990,2080.0,0.16329999268055,8851.8720703125,339.663984775544,26.060673097743862
East Asia and Pacific,MAC,2000,2080.0,0.195299997925758,13481.86328125,406.22399568557665,33.18824940042479
East Asia and Pacific,MAC,2010,2080.0,0.318300008773804,56312.6640625,662.0640182495123,85.05622192154449
East Asia and Pacific,MAC,2019,2080.0,0.387800008058548,59745.64453125,806.6240167617798,74.06876474010899
East Asia and Pacific,MMR,1960,2446.71585410172,10.3714456558228,20739.2109375,25375.980516056057,0.817277224987533
East Asia and Pacific,MMR,1970,2446.71585410172,10.3714456558228,20739.2109375,25375.980516056057,0.817277224987533
East Asia and Pacific,MMR,1980,2437.94035550694,13.2080001831055,29310.68359375,32200.31666193595,0.9102607251188374
East Asia and Pacific,MMR,1990,2439.51075289691,15.2209997177124,31515.044921875,37131.79248120024,0.8487348122994873
East Asia and Pacific,MMR,2000,2444.77492648356,18.9641895294189,52476.1171875,46363.17506260539,1.13184908317086
East Asia and Pacific,MMR,2010,2442.78464424057,20.4996280670166,186161.140625,50076.17665475115,3.717558988348551
East Asia and Pacific,MMR,2019,2447.0576594937,22.1093082427979,278480.875,54102.752081645805,5.14725895236804
East Asia and Pacific,MNG,1960,2080.0,0.553299963474274,1762.70629882813,1150.86392402649,1.5316374612395591
East Asia and Pacific,MNG,1970,2080.0,0.553299963474274,1762.70629882813,1150.86392402649,1.5316374612395591
East Asia and Pacific,MNG,1980,2080.0,0.553299963474274,3290.88403320313,1150.86392402649,2.859490131282786
East Asia and Pacific,MNG,1990,2080.0,0.701846957206726,8310.73828125,1459.84167098999,5.692903858275317
East Asia and Pacific,MNG,2000,2080.0,0.822765052318573,7701.78076171875,1711.3513088226318,4.500408958706081
East Asia and Pacific,MNG,2010,2080.0,1.17469990253448,23811.08984375,2443.3757972717185,9.745160719991391
East Asia and Pacific,MNG,2019,2080.0,1.37653481960297,38373.1484375,2863.1924247741777,13.402224770319627
East Asia and Pacific,MYS,1960,2229.755834729,2.75792908668518,22453.13671875,6149.508472805102,3.651208355601791
East Asia and Pacific,MYS,1970,2229.755834729,3.55449604988098,41951.6015625,7925.658306743298,5.293137798636461
East Asia and Pacific,MYS,1980,2237.15478204582,4.89068984985352,102163.9296875,10941.230185102755,9.337517624535794
East Asia and Pacific,MYS,1990,2240.68156614468,6.83181476593018,168198.3125,15307.921409334785,10.987665013581301
East Asia and Pacific,MYS,2000,2247.29151897399,9.37503147125244,310440.53125,21068.428715459857,14.734868719573807
East Asia and Pacific,MYS,2010,2227.76219683704,12.0396518707275,561965.5625,26821.481300685075,20.952070327511937
East Asia and Pacific,MYS,2019,2197.058086374,15.1183233261108,822192.0625,33215.8345160484,24.753015375927216
East Asia and Pacific,NZL,1960,1866.59287553387,1.00845289230347,33937.66015625,1882.370984085182,18.029209142715
East Asia and Pacific,NZL,1970,1866.59287553387,1.24424874782562,47658.48046875,2322.505848083241,20.520284376498964
East Asia and Pacific,NZL,1980,1812.55278690248,1.53604757785797,57398.43359375,2784.167318061268,20.616014426072255
East Asia and Pacific,NZL,1990,1808.29438327887,1.52131986618042,78282.515625,2750.9941691846157,28.456081987335743
East Asia and Pacific,NZL,2000,1836.36225122568,1.81842231750488,114185.546875,3339.2821006522795,34.19463927671625
East Asia and Pacific,NZL,2010,1759.79012647398,2.18693161010742,152529.75,3848.5406547408816,39.63313985318148
East Asia and Pacific,NZL,2019,1778.98443058943,2.50608086585999,198608.53125,4458.278842163,44.54825242685855
East Asia and Pacific,PHL,1960,2112.94575981687,8.34200668334961,53555.7265625,17626.207649947548,3.0384145941148817
East Asia and Pacific,PHL,1970,2112.94575981687,11.0959730148315,87711.65625,23445.189132730633,3.7411366465604763
East Asia and Pacific,PHL,1980,2133.51279980946,16.0548706054688,165465.734375,34253.27193605234,4.830654854926241
East Asia and Pacific,PHL,1990,2191.85074734378,22.0121898651123,253965.703125,48247.43480651957,5.263817737532486
East Asia and Pacific,PHL,2000,2160.45367914906,28.3471717834473,354163.53125,61242.751573019144,5.782946098163702
East Asia and Pacific,PHL,2010,2124.37976911336,36.1472206115723,546344.0,76790.42417690165,7.114741269580573
East Asia and Pacific,PHL,2019,2168.29650047107,42.424800872802706,913415.5,91989.5472656801,9.92955751115846
East Asia and Pacific,SGP,1960,2400.39042628947,0.485596686601639,4544.4541015625,1165.6216375564622,3.898738625931151
East Asia and Pacific,SGP,1970,2347.52756662966,0.64774763584137,14946.2587890625,1520.6054313568065,9.829149943076454
East Asia and Pacific,SGP,1980,2281.19138502241,1.06372320652008,47795.484375,2426.5562147620203,19.696837882524576
East Asia and Pacific,SGP,1990,2431.68752962136,1.52955627441406,86240.1953125,3719.402918346777,23.186569781698342
East Asia and Pacific,SGP,2000,2574.27833434017,2.08465480804443,163189.421875,5366.481706926843,30.409014841951578
East Asia and Pacific,SGP,2010,2476.2314600838,3.10831499099731,369107.4375,7696.907368557632,47.95529162892461
East Asia and Pacific,SGP,2019,2330.16587486176,3.7596037387847905,477607.4375,8760.500335119006,54.518283115106115
East Asia and Pacific,THA,1960,2455.39398308555,11.9686613082886,32982.84765625,29387.77896196066,1.1223320993036858
East Asia and Pacific,THA,1970,2455.39398308555,15.2047147750854,91697.625,37333.56517327666,2.456171131109576
East Asia and Pacific,THA,1980,2710.09381784497,20.3134098052979,177007.625,55051.24633268924,3.215324571042336
East Asia and Pacific,THA,1990,2579.75468061814,28.7045097351074,335121.75,74050.59334399228,4.525578187378406
East Asia and Pacific,THA,2000,2502.6596050138,31.47385597229,488112.03125,78768.34795587252,6.196804222978617
East Asia and Pacific,THA,2010,2349.35640309388,38.0122909545898,933372.0625,89304.41915043312,10.451577552144833
East Asia and Pacific,THA,2019,2092.99009981099,37.540958404541,1191566.75,78572.8542781205,15.165119823473248
East Asia and Pacific,TWN,1960,2330.22139186319,3.4337317943573,27800.841796875,8001.355281132156,3.474516606259397
East Asia and Pacific,TWN,1970,2301.47487256976,4.75002670288086,78150.7109375,10932.067100715685,7.1487588044884705
East Asia and Pacific,TWN,1980,2313.90880997521,6.84890413284302,210324.578125,15847.739611661089,13.27158214855063
East Asia and Pacific,TWN,1990,2230.64404715128,8.64918994903564,455691.78125,19293.264072497033,23.619216506739185
East Asia and Pacific,TWN,2000,2180.49595274313,9.59665679931641,788683.5625,20925.471310774272,37.69012180356083
East Asia and Pacific,TWN,2010,2062.69523787443,10.4931449890137,964265.1875,21644.160199164497,44.55082473180098
East Asia and Pacific,TWN,2019,2085.13533253157,11.5,1103138.375,23979.056324113055,46.00424470794112
East Asia and Pacific,VNM,1960,2986.8474530346,15.5760669708252,40066.19140625,46523.335960105615,0.8612063296709268
East Asia and Pacific,VNM,1970,2986.8474530346,15.5760669708252,40066.19140625,46523.335960105615,0.8612063296709268
East Asia and Pacific,VNM,1980,2534.25296128819,22.0648803710938,62138.828125,55917.98842091412,1.111249347119919
East Asia and Pacific,VNM,1990,2349.80420639479,29.0491981506348,85196.5078125,68259.92800675741,1.2481189227751008
East Asia and Pacific,VNM,2000,2393.65671057478,37.0518035888672,186307.46875,88689.29829939069,2.100675868706021
East Asia and Pacific,VNM,2010,2299.99859928988,49.0485000610352,418790.375,112811.48143765055,3.7123027697447624
East Asia and Pacific,VNM,2019,2131.96823176583,50.3995628356934,724026.875,107450.26686058409,6.738251063996141
Europe and Central Asia,ALB,1960,2080.0,0.769157230854034,6695.36962890625,1599.8470401763907,4.185006104188594
Europe and Central Asia,ALB,1970,2080.0,0.769157230854034,6695.36962890625,1599.8470401763907,4.185006104188594
Europe and Central Asia,ALB,1980,2080.0,1.02704501152039,9961.8115234375,2136.253623962411,4.663215739786516
Europe and Central Asia,ALB,1990,2080.0,1.32407820224762,12092.9013671875,2754.0826606750497,4.390899931893629
Europe and Central Asia,ALB,2000,2080.0,0.962967455387115,16627.9921875,2002.9723072051993,8.301658553982447
Europe and Central Asia,ALB,2010,2080.0,0.890818357467651,31011.357421875,1852.9021835327142,16.736640335081926
Europe and Central Asia,ALB,2019,2080.0,1.07589769363403,36089.421875,2237.8672027587827,16.12670395746
Europe and Central Asia,ARM,1960,2080.0,1.83259057998657,24346.298828125,3811.7884063720658,6.387106584254766
Europe and Central Asia,ARM,1970,2080.0,1.83259057998657,24346.298828125,3811.7884063720658,6.387106584254766
Europe and Central Asia,ARM,1980,2080.0,1.83259057998657,24346.298828125,3811.7884063720658,6.387106584254766
Europe and Central Asia,ARM,1990,2080.0,1.83259057998657,24346.298828125,3811.7884063720658,6.387106584254766
Europe and Central Asia,ARM,2000,2080.0,1.41887354850769,11658.3544921875,2951.256980895995,3.950301369095974
Europe and Central Asia,ARM,2010,2080.0,1.16006529331207,25546.341796875,2412.935810089106,10.587244671018254
Europe and Central Asia,ARM,2019,2080.0,0.966090977191925,43573.2421875,2009.469232559204,21.683955883219138
Europe and Central Asia,AUT,1960,2059.28203347147,3.44042825698853,72423.171875,7084.812097064046,10.222313715985813
Europe and Central Asia,AUT,1970,1890.13741918787,3.26504325866699,111529.3203125,6171.380438473577,18.072021555696793
Europe and Central Asia,AUT,1980,1881.03538523071,3.51172971725464,152753.0,6605.687861522214,23.124465339904756
Europe and Central Asia,AUT,1990,1826.02977823911,3.56034135818481,205500.109375,6501.2893407417405,31.609131451385952
Europe and Central Asia,AUT,2000,1798.43221117612,3.7599310874939,306816.46875,6761.981179551489,45.37375372735815
Europe and Central Asia,AUT,2010,1665.8438684206,4.09695100784302,385089.875,6824.880715634893,56.42441106960454
Europe and Central Asia,AUT,2019,1611.37422283302,4.55028104782104,477512.34375,7332.205587104448,65.12533480919127
Europe and Central Asia,AZE,1960,2080.0,3.8778362274169904,76027.9921875,8065.89935302734,9.425854310835746
Europe and Central Asia,AZE,1970,2080.0,3.8778362274169904,76027.9921875,8065.89935302734,9.425854310835746
Europe and Central Asia,AZE,1980,2080.0,3.8778362274169904,76027.9921875,8065.89935302734,9.425854310835746
Europe and Central Asia,AZE,1990,2080.0,3.8778362274169904,76027.9921875,8065.89935302734,9.425854310835746
Europe and Central Asia,AZE,2000,2080.0,3.85383367538452,22876.466796875,8015.974044799802,2.85385988889468
Europe and Central Asia,AZE,2010,2080.0,4.37737941741943,129778.484375,9104.949188232415,14.253619838178855
Europe and Central Asia,AZE,2019,2080.0,5.02717876434326,159332.359375,10456.53182983398,15.237591389565898
Europe and Central Asia,BEL,1960,1996.07011427519,3.49506068229675,96802.0234375,6976.386175510797,13.875668720476522
Europe and Central Asia,BEL,1970,1880.77615901458,3.7247076034545903,154496.09375,7005.341259877725,22.0540424825352
Europe and Central Asia,BEL,1980,1698.9741436437,3.7847752571106,234813.78125,6430.235301333347,36.51713665926191
Europe and Central Asia,BEL,1990,1655.92814000428,3.8611569404602095,261159.46875,6393.798430680891,40.84574632456602
Europe and Central Asia,BEL,2000,1589.10261089617,4.12124252319336,346702.84375,6549.077253742888,52.93918979988433
Europe and Central Asia,BEL,2010,1573.83071067685,4.49962615966797,489053.0,7081.649836650386,69.05918977650576
Europe and Central Asia,BEL,2019,1586.43099700467,4.92193651199341,517090.9375,7808.312647915393,66.22313434619568
Europe and Central Asia,BGR,1960,1640.25376636206,4.33926391601563,38661.32421875,7117.49398148362,5.431873117044936
Europe and Central Asia,BGR,1970,1640.25376636206,4.33926391601563,38661.32421875,7117.49398148362,5.431873117044936
Europe and Central Asia,BGR,1980,1640.25376636206,4.4123010635376,74674.9453125,7237.293437790872,10.318076219290889
Europe and Central Asia,BGR,1990,1640.25376636206,4.096799850463871,106439.0,6719.791384754889,15.839628629167997
Europe and Central Asia,BGR,2000,1640.25376636206,3.03881978988647,79604.0234375,4984.435605656847,15.970518978549391
Europe and Central Asia,BGR,2010,1644.8379390048,3.25347542762756,123582.984375,5351.439816981676,23.09340824180349
Europe and Central Asia,BGR,2019,1645.2464639261,3.42041850090027,149373.15625,5627.43144375358,26.543754063108743
