Entity,Year,Threshold,Percentage
East Asia and Pacific,1980,below 1.90$ a day,0.695672829
East Asia and Pacific,1980,1.9 - 3.20$ a day,0.206393234
East Asia and Pacific,1980,3.20 - 5.50$ a day,0.064792888
East Asia and Pacific,1980,5.50 - 10$ a day,0.021929571
East Asia and Pacific,1980,above 10$ a day,0.011211478
East Asia and Pacific,1990,below 1.90$ a day,0.482174697
East Asia and Pacific,1990,1.9 - 3.20$ a day,0.270282633
East Asia and Pacific,1990,3.20 - 5.50$ a day,0.157665616
East Asia and Pacific,1990,5.50 - 10$ a day,0.062410951
East Asia and Pacific,1990,above 10$ a day,0.027466104
East Asia and Pacific,2000,below 1.90$ a day,0.21187169
East Asia and Pacific,2000,1.9 - 3.20$ a day,0.252767685
East Asia and Pacific,2000,3.20 - 5.50$ a day,0.251122559
East Asia and Pacific,2000,5.50 - 10$ a day,0.183149649
East Asia and Pacific,2000,above 10$ a day,0.101088417
East Asia and Pacific,2010,below 1.90$ a day,0.065547447
East Asia and Pacific,2010,1.9 - 3.20$ a day,0.1551411
East Asia and Pacific,2010,3.20 - 5.50$ a day,0.246863071
East Asia and Pacific,2010,5.50 - 10$ a day,0.276960917
East Asia and Pacific,2010,above 10$ a day,0.255487465
Europe and Central Asia,1990,below 1.90$ a day,0.067894669
Europe and Central Asia,1990,1.9 - 3.20$ a day,0.119233988
Europe and Central Asia,1990,3.20 - 5.50$ a day,0.221983516
Europe and Central Asia,1990,5.50 - 10$ a day,0.285808517
Europe and Central Asia,1990,above 10$ a day,0.305079309
Europe and Central Asia,2000,below 1.90$ a day,0.045373438
Europe and Central Asia,2000,1.9 - 3.20$ a day,0.069547116
Europe and Central Asia,2000,3.20 - 5.50$ a day,0.146805163
Europe and Central Asia,2000,5.50 - 10$ a day,0.281594309
Europe and Central Asia,2000,above 10$ a day,0.456679973
Europe and Central Asia,2010,below 1.90$ a day,0.01864959
Europe and Central Asia,2010,1.9 - 3.20$ a day,0.043182831
Europe and Central Asia,2010,3.20 - 5.50$ a day,0.087668049
Europe and Central Asia,2010,5.50 - 10$ a day,0.22926263
Europe and Central Asia,2010,above 10$ a day,0.6212369
Latin America and the Caribbean,1980,below 1.90$ a day,0.145100409
Latin America and the Caribbean,1980,1.9 - 3.20$ a day,0.142345818
Latin America and the Caribbean,1980,3.20 - 5.50$ a day,0.195813709
Latin America and the Caribbean,1980,5.50 - 10$ a day,0.214313638
Latin America and the Caribbean,1980,above 10$ a day,0.302426427
Latin America and the Caribbean,1990,below 1.90$ a day,0.139900856
Latin America and the Caribbean,1990,1.9 - 3.20$ a day,0.139209129
Latin America and the Caribbean,1990,3.20 - 5.50$ a day,0.20415769
Latin America and the Caribbean,1990,5.50 - 10$ a day,0.230925218
Latin America and the Caribbean,1990,above 10$ a day,0.285807107
Latin America and the Caribbean,2000,below 1.90$ a day,0.094650331
Latin America and the Caribbean,2000,1.9 - 3.20$ a day,0.110404397
Latin America and the Caribbean,2000,3.20 - 5.50$ a day,0.190667451
Latin America and the Caribbean,2000,5.50 - 10$ a day,0.250386671
Latin America and the Caribbean,2000,above 10$ a day,0.35389115
Latin America and the Caribbean,2010,below 1.90$ a day,0.049833831
Latin America and the Caribbean,2010,1.9 - 3.20$ a day,0.072161892
Latin America and the Caribbean,2010,3.20 - 5.50$ a day,0.161276513
Latin America and the Caribbean,2010,5.50 - 10$ a day,0.254485214
Latin America and the Caribbean,2010,above 10$ a day,0.462242551
Middle East and North Africa,1980,below 1.90$ a day,0.084870851
Middle East and North Africa,1980,1.9 - 3.20$ a day,0.229530263
Middle East and North Africa,1980,3.20 - 5.50$ a day,0.306946247
Middle East and North Africa,1980,5.50 - 10$ a day,0.23125064
Middle East and North Africa,1980,above 10$ a day,0.147401999
Middle East and North Africa,1990,below 1.90$ a day,0.057115036
Middle East and North Africa,1990,1.9 - 3.20$ a day,0.208572663
Middle East and North Africa,1990,3.20 - 5.50$ a day,0.320501212
Middle East and North Africa,1990,5.50 - 10$ a day,0.254730919
Middle East and North Africa,1990,above 10$ a day,0.15908017
Middle East and North Africa,2000,below 1.90$ a day,0.030265184
Middle East and North Africa,2000,1.9 - 3.20$ a day,0.155212699
Middle East and North Africa,2000,3.20 - 5.50$ a day,0.309488686
Middle East and North Africa,2000,5.50 - 10$ a day,0.270201006
Middle East and North Africa,2000,above 10$ a day,0.234832425
Middle East and North Africa,2010,below 1.90$ a day,0.029206838
Middle East and North Africa,2010,1.9 - 3.20$ a day,0.119433088
Middle East and North Africa,2010,3.20 - 5.50$ a day,0.279385264
Middle East and North Africa,2010,5.50 - 10$ a day,0.292561205
Middle East and North Africa,2010,above 10$ a day,0.279413604
North America,1980,below 1.90$ a day,0.004736505
North America,1980,1.9 - 3.20$ a day,0.002280901
North America,1980,3.20 - 5.50$ a day,0.005018777
North America,1980,5.50 - 10$ a day,0.029839067
North America,1980,above 10$ a day,0.95812475
North America,1990,below 1.90$ a day,0.006310645
North America,1990,1.9 - 3.20$ a day,0.002175821
