Code,Metric,Year,Value
ABW,rgdpe,1970,400.0580444
ABW,pop,1970,0.059063
ABW,rgdpe,1980,955.5754395
ABW,pop,1980,0.060096
ABW,rgdpe,1990,2575.103027
ABW,pop,1990,0.062149
ABW,rgdpe,2000,4030.895508
ABW,pop,2000,0.090853
ABW,rgdpe,2010,4012.447266
ABW,pop,2010,0.101669
ABW,rgdpe,2019,3921.091064
ABW,pop,2019,0.106314
AGO,rgdpe,1970,28965.67969
AGO,pop,1970,5.890365
AGO,rgdpe,1980,30376.4668
AGO,pop,1980,8.341289
AGO,rgdpe,1990,36306.23047
AGO,pop,1990,11.848386
AGO,rgdpe,2000,40891.99609
AGO,pop,2000,16.395473
AGO,rgdpe,2010,140727.2188
AGO,pop,2010,23.356246
AGO,rgdpe,2019,228128.2656
AGO,pop,2019,31.825295
AIA,rgdpe,1970,61.81647873
AIA,pop,1970,0.006771
AIA,rgdpe,1980,90.25704193
AIA,pop,1980,0.007285
AIA,rgdpe,1990,206.0646515
AIA,pop,1990,0.008899
AIA,rgdpe,2000,301.9130554
AIA,pop,2000,0.011252
AIA,rgdpe,2010,408.8670654
AIA,pop,2010,0.013438
AIA,rgdpe,2019,376.631897
AIA,pop,2019,0.014869
ALB,rgdpe,1970,6681.513672
ALB,pop,1970,2.150707
ALB,rgdpe,1980,9974.303711
ALB,pop,1980,2.68269
ALB,rgdpe,1990,12005.19141
ALB,pop,1990,3.286073
ALB,rgdpe,2000,15180.15527
ALB,pop,2000,3.129243
ALB,rgdpe,2010,29489.26758
ALB,pop,2010,2.948023
ALB,rgdpe,2019,35888.35547
ALB,pop,2019,2.880917
ARE,rgdpe,1970,66494.14844
ARE,pop,1970,0.234514
ARE,rgdpe,1980,248220.7188
ARE,pop,1980,1.019509
ARE,rgdpe,1990,226935.1406
ARE,pop,1990,1.828432
ARE,rgdpe,2000,342880.1563
ARE,pop,2000,3.134062
ARE,rgdpe,2010,565729.5
ARE,pop,2010,8.549988
ARE,rgdpe,2019,681537.5
ARE,pop,2019,9.770529
ARG,rgdpe,1960,66814.1875
ARG,pop,1960,20.54567357
ARG,rgdpe,1970,96614.45313
ARG,pop,1970,23.880561
ARG,rgdpe,1980,130179.0859
ARG,pop,1980,27.896528
ARG,rgdpe,1990,196679.5469
ARG,pop,1990,32.618651
ARG,rgdpe,2000,528614.1875
ARG,pop,2000,36.870787
ARG,rgdpe,2010,786997.25
ARG,pop,2010,40.895752
ARG,rgdpe,2019,991523.875
ARG,pop,2019,44.780677
ARM,rgdpe,1990,23706.33789
ARM,pop,1990,3.538171
ARM,rgdpe,2000,10086.89648
ARM,pop,2000,3.069591
