VariableCode,RegionCode,YearCode,AggValue
rgdpo,ABW,1970,463.30258178710900000
rgdpo,ABW,1980,1097.31555175781000000
rgdpo,ABW,1990,3012.50317382813000000
rgdpo,ABW,2000,4129.49267578125000000
emp,ABW,2000,0.04190000146627430
rgdpo,ABW,2010,3933.11547851563000000
emp,ABW,2010,0.04650000110268590
rgdpo,ABW,2019,3463.53491210938000000
emp,ABW,2019,0.04760088771581650
rgdpo,AGO,1970,28527.01171875000000000
emp,AGO,1970,3.66620731353760000
rgdpo,AGO,1980,28932.06445312500000000
emp,AGO,1980,4.95223426818848000
rgdpo,AGO,1990,35992.87890625000000000
emp,AGO,1990,6.66724205017090000
rgdpo,AGO,2000,36544.38671875000000000
emp,AGO,2000,9.06355476379395000
rgdpo,AGO,2010,159644.23437500000000000
emp,AGO,2010,11.97783279418950000
rgdpo,AGO,2019,227841.42187500000000000
emp,AGO,2019,16.64496231079100000
rgdpo,AIA,1970,67.86354827880860000
rgdpo,AIA,1980,98.59049987792970000
emp,AIA,1980,0.00171110534574836
rgdpo,AIA,1990,247.39848327636700000
emp,AIA,1990,0.00355263403616846
rgdpo,AIA,2000,305.81134033203100000
emp,AIA,2000,0.00541337020695210
rgdpo,AIA,2010,381.15731811523400000
rgdpo,AIA,2019,225.53736877441400000
rgdpo,ALB,1970,6695.36962890625000000
emp,ALB,1970,0.76915723085403400
rgdpo,ALB,1980,9961.81152343750000000
emp,ALB,1980,1.02704501152039000
rgdpo,ALB,1990,12092.90136718750000000
emp,ALB,1990,1.32407820224762000
rgdpo,ALB,2000,16627.99218750000000000
emp,ALB,2000,0.96296745538711500
rgdpo,ALB,2010,31011.35742187500000000
emp,ALB,2010,0.89081835746765100
rgdpo,ALB,2019,36089.42187500000000000
emp,ALB,2019,1.07589769363403000
rgdpo,ARE,1970,70514.90625000000000000
emp,ARE,1970,0.10193782299757000
rgdpo,ARE,1980,307846.31250000000000000
emp,ARE,1980,0.55330002307891800
rgdpo,ARE,1990,264779.56250000000000000
emp,ARE,1990,0.94894194602966300
rgdpo,ARE,2000,347811.87500000000000000
emp,ARE,2000,1.77899992465973000
rgdpo,ARE,2010,618776.81250000000000000
emp,ARE,2010,5.27298212051392000
rgdpo,ARE,2019,645700.06250000000000000
emp,ARE,2019,5.80883407592773000
rgdpo,ARG,1960,65979.64843750000000000
emp,ARG,1960,7.64299201965332000
avh,ARG,1960,2073.00000000000000000
rgdpo,ARG,1970,97088.53906250000000000
emp,ARG,1970,8.65194988250732000
avh,ARG,1970,2006.00000000000000000
rgdpo,ARG,1980,125293.42187500000000000
emp,ARG,1980,9.82857227325439000
avh,ARG,1980,1974.00000000000000000
rgdpo,ARG,1990,204176.14062500000000000
emp,ARG,1990,11.81147861480710000
avh,ARG,1990,1850.00000000000000000
rgdpo,ARG,2000,528354.93750000000000000
emp,ARG,2000,13.59835910797120000
avh,ARG,2000,1862.13626747802000000
rgdpo,ARG,2010,784674.00000000000000000
emp,ARG,2010,18.07674598693850000
avh,ARG,2010,1760.22478243752000000
rgdpo,ARG,2019,977354.81250000000000000
emp,ARG,2019,20.64321517944340000
avh,ARG,2019,1609.06899778265000000
rgdpo,ARM,1990,24346.29882812500000000
emp,ARM,1990,1.83259057998657000
rgdpo,ARM,2000,11658.35449218750000000
emp,ARM,2000,1.41887354850769000
rgdpo,ARM,2010,25546.34179687500000000
emp,ARM,2010,1.16006529331207000
rgdpo,ARM,2019,43573.24218750000000000
emp,ARM,2019,0.96609097719192500
rgdpo,ATG,1970,399.59472656250000000
rgdpo,ATG,1980,491.93695068359400000
rgdpo,ATG,1990,843.63586425781300000
rgdpo,ATG,2000,1166.29357910156000000
emp,ATG,2000,0.03542226925492290
rgdpo,ATG,2010,1847.98327636719000000
rgdpo,ATG,2019,1602.40661621094000000
rgdpo,AUS,1960,165417.39062500000000000
emp,AUS,1960,4.15540218353271000
avh,AUS,1960,1978.31081824291000000
rgdpo,AUS,1970,275288.37500000000000000
emp,AUS,1970,5.47068738937378000
avh,AUS,1970,1942.11595280387000000
rgdpo,AUS,1980,360221.06250000000000000
emp,AUS,1980,6.27751445770264000
avh,AUS,1980,1909.76282731007000000
rgdpo,AUS,1990,507688.34375000000000000
emp,AUS,1990,7.84548377990723000
avh,AUS,1990,1863.95976066404000000
rgdpo,AUS,2000,746957.87500000000000000
emp,AUS,2000,8.90264701843262000
avh,AUS,2000,1847.48006809129000000
rgdpo,AUS,2010,1112653.50000000000000000
emp,AUS,2010,11.12126064300540000
avh,AUS,2010,1763.32278712918000000
rgdpo,AUS,2019,1364690.50000000000000000
emp,AUS,2019,12.86317443847660000
avh,AUS,2019,1726.79765901284000000
rgdpo,AUT,1960,72423.17187500000000000
emp,AUT,1960,3.44042825698853000
avh,AUT,1960,2059.28203347147000000
rgdpo,AUT,1970,111529.32031250000000000
emp,AUT,1970,3.26504325866699000
avh,AUT,1970,1890.13741918787000000
rgdpo,AUT,1980,152753.00000000000000000
emp,AUT,1980,3.51172971725464000
avh,AUT,1980,1881.03538523071000000
rgdpo,AUT,1990,205500.10937500000000000
emp,AUT,1990,3.56034135818481000
avh,AUT,1990,1826.02977823911000000
rgdpo,AUT,2000,306816.46875000000000000
emp,AUT,2000,3.75993108749390000
avh,AUT,2000,1798.43221117612000000
rgdpo,AUT,2010,385089.87500000000000000
emp,AUT,2010,4.09695100784302000
avh,AUT,2010,1665.84386842060000000
rgdpo,AUT,2019,477512.34375000000000000
emp,AUT,2019,4.55028104782104000
avh,AUT,2019,1611.37422283302000000
rgdpo,AZE,1990,76027.99218750000000000
emp,AZE,1990,3.87783622741699000
rgdpo,AZE,2000,22876.46679687500000000
emp,AZE,2000,3.85383367538452000
rgdpo,AZE,2010,129778.48437500000000000
emp,AZE,2010,4.37737941741943000
rgdpo,AZE,2019,159332.35937500000000000
emp,AZE,2019,5.02717876434326000
rgdpo,BDI,1960,2099.48779296875000000
rgdpo,BDI,1970,2968.04418945313000000
rgdpo,BDI,1980,4060.24316406250000000
emp,BDI,1980,1.96863210201263000
rgdpo,BDI,1990,5521.42871093750000000
emp,BDI,1990,2.56798529624939000
rgdpo,BDI,2000,4769.76757812500000000
emp,BDI,2000,2.66000699996948000
rgdpo,BDI,2010,6649.87109375000000000
emp,BDI,2010,3.75101351737976000
rgdpo,BDI,2019,9106.92285156250000000
emp,BDI,2019,5.00358819961548000
rgdpo,BEL,1960,96802.02343750000000000
emp,BEL,1960,3.49506068229675000
avh,BEL,1960,1996.07011427519000000
rgdpo,BEL,1970,154496.09375000000000000
emp,BEL,1970,3.72470760345459000
avh,BEL,1970,1880.77615901458000000
rgdpo,BEL,1980,234813.78125000000000000
emp,BEL,1980,3.78477525711060000
avh,BEL,1980,1698.97414364370000000
rgdpo,BEL,1990,261159.46875000000000000
emp,BEL,1990,3.86115694046021000
avh,BEL,1990,1655.92814000428000000
rgdpo,BEL,2000,346702.84375000000000000
emp,BEL,2000,4.12124252319336000
avh,BEL,2000,1589.10261089617000000
rgdpo,BEL,2010,489053.00000000000000000
emp,BEL,2010,4.49962615966797000
avh,BEL,2010,1573.83071067685000000
rgdpo,BEL,2019,517090.93750000000000000
emp,BEL,2019,4.92193651199341000
avh,BEL,2019,1586.43099700467000000
rgdpo,BEN,1960,4065.98193359375000000
rgdpo,BEN,1970,6400.99169921875000000
rgdpo,BEN,1980,8229.25683593750000000
emp,BEN,1980,1.32653748989105000
rgdpo,BEN,1990,6712.19970703125000000
emp,BEN,1990,1.75234127044678000
rgdpo,BEN,2000,11638.20214843750000000
emp,BEN,2000,2.45483946800232000
rgdpo,BEN,2010,19113.30468750000000000
emp,BEN,2010,3.30498743057251000
rgdpo,BEN,2019,38294.05468750000000000
emp,BEN,2019,4.30030059814453000
rgdpo,BFA,1960,5043.60302734375000000
emp,BFA,1960,2.71075272560120000
rgdpo,BFA,1970,5766.24316406250000000
emp,BFA,1970,2.71526789665222000
rgdpo,BFA,1980,8332.88281250000000000
emp,BFA,1980,3.01988601684570000
rgdpo,BFA,1990,9845.39746093750000000
emp,BFA,1990,3.95746183395386000
rgdpo,BFA,2000,16860.15234375000000000
emp,BFA,2000,4.83552837371826000
rgdpo,BFA,2010,25502.93554687500000000
emp,BFA,2010,5.14661169052124000
rgdpo,BFA,2019,43080.64062500000000000
emp,BFA,2019,6.95875597000122000
rgdpo,BGD,1960,81421.96875000000000000
emp,BGD,1960,17.85973358154300000
rgdpo,BGD,1970,100654.64843750000000000
emp,BGD,1970,20.20620727539060000
avh,BGD,1970,2520.86007346031000000
rgdpo,BGD,1980,106203.64843750000000000
emp,BGD,1980,24.07730293273930000
avh,BGD,1980,2519.26013246900000000
rgdpo,BGD,1990,158010.23437500000000000
emp,BGD,1990,32.14781570434570000
avh,BGD,1990,2413.83360941046000000
rgdpo,BGD,2000,194089.12500000000000000
emp,BGD,2000,41.53954315185550000
avh,BGD,2000,2560.82716280636000000
rgdpo,BGD,2010,391208.56250000000000000
emp,BGD,2010,54.43599700927730000
avh,BGD,2010,2577.61601989015000000
rgdpo,BGD,2019,759551.93750000000000000
emp,BGD,2019,65.53406524658200000
avh,BGD,2019,2418.88269322362000000
rgdpo,BGR,1970,38661.32421875000000000
emp,BGR,1970,4.33926391601563000
rgdpo,BGR,1980,74674.94531250000000000
emp,BGR,1980,4.41230106353760000
rgdpo,BGR,1990,106439.00000000000000000
emp,BGR,1990,4.09679985046387000
rgdpo,BGR,2000,79604.02343750000000000
emp,BGR,2000,3.03881978988647000
avh,BGR,2000,1640.25376636206000000
rgdpo,BGR,2010,123582.98437500000000000
emp,BGR,2010,3.25347542762756000
avh,BGR,2010,1644.83793900480000000
rgdpo,BGR,2019,149373.15625000000000000
emp,BGR,2019,3.42041850090027000
avh,BGR,2019,1645.24646392610000000
rgdpo,BHR,1970,4635.01416015625000000
emp,BHR,1970,0.05030142515897750
rgdpo,BHR,1980,9491.74609375000000000
emp,BHR,1980,0.11936211585998500
rgdpo,BHR,1990,7896.64355468750000000
emp,BHR,1990,0.17720264196395900
rgdpo,BHR,2000,18456.04492187500000000
emp,BHR,2000,0.24797882139682800
rgdpo,BHR,2010,57749.60546875000000000
emp,BHR,2010,0.59144246578216600
rgdpo,BHR,2019,77062.10156250000000000
emp,BHR,2019,0.74366360902786300
rgdpo,BHS,1970,4767.12158203125000000
