Entity,Year,below 1.90$ a day,1.9 - 3.20$ a day,3.20 - 5.50$ a day,5.50 - 10$ a day,above 10$ a day
South Asia,2003,0.109368,0.170934,0.17112,0.116126,0.052452
South Asia,2007,0.054855,0.155319,0.213072,0.180297,0.086457
South Asia,2012,0.016275,0.092625,0.22035,0.2532,0.16755
South Asia,2017,0.012069,0.085212,0.215055,0.261225,0.236439
North America,1981,0.12201,0.06474,0.12201,0.498,24.093241
North America,1987,0.05841,0,0.140715,0.39825,25.952625
North America,1991,0.061974,0,0.073242,0.498609,27.536175
North America,1994,0.072775,0,0.069864,0.439561,28.5278
North America,1997,0.14995,0,0.14995,0.44985,29.24025
North America,1998,0.15125,0,0.15125,0.372075,29.575424
North America,2000,0.076925,0.076925,0.073848,0.464627,30.077675
North America,2004,0.0768,0,0.16,0.4032,31.360001
North America,2007,0.082225,0,0.082225,0.3289,32.396648
North America,2010,0.085025,0,0.081624,0.255075,33.588276
North America,2013,0.17575,0,0.17575,0.3515,34.446999
East Asia and Pacific,1981,1111.790039,180.37,49.169922,24.780029,14.730015
East Asia and Pacific,1984,1017,302.43994,85.580078,29.569946,16.530035
East Asia and Pacific,1987,902.97998,416.66003,147.62,41.219971,17.600019
East Asia and Pacific,1990,983.880005,382.82996,160.35999,51.390015,26.120039
East Asia and Pacific,1993,899.23999,433.14001,227.51001,78.160034,36.029953
East Asia and Pacific,1996,710.780029,514.04993,327.57007,130.05994,56.030041
East Asia and Pacific,1999,692.27002,512.04004,359.09998,165.73999,69.009979
East Asia and Pacific,2002,549.090027,506.26996,421.02002,261.01001,112.05998
East Asia and Pacific,2005,358.589996,497.75003,500.26996,354.02002,184.92999
East Asia and Pacific,2008,296.480011,432.56998,505.95001,425.89001,277.53998
East Asia and Pacific,2010,220.509995,380.20996,501.98999,487.81006,375.77997
East Asia and Pacific,2011,169.740005,354.67999,511.77997,521.20007,422.96997
East Asia and Pacific,2012,144.419998,328.87,495.74997,538.00006,487.67996
East Asia and Pacific,2013,73.089996,279.19,499.93997,590.04004,566.97998
East Asia and Pacific,2015,47,206.77,456.47998,629.54004,698.67993
Europe and Central Asia,1993,24.530001,48.080002,98.319992,142.86002,155.31999
Europe and Central Asia,1996,34.209999,57.169998,104.15,128.92001,145.91998
Europe and Central Asia,1999,37.02,62.920002,110.62,131.33002,129.04999
Europe and Central Asia,2002,28.049999,43.530003,92.759995,143.57001,161.75
Europe and Central Asia,2005,22.83,32.470001,69.119995,137.39,208.41
Europe and Central Asia,2008,13.2,22.219997,45.450005,116.73,274.79999
Europe and Central Asia,2010,11.37,22.010002,44.709995,116.35001,281.51999
Europe and Central Asia,2011,9.81,21.709999,42.109997,111.54,292.75
Europe and Central Asia,2012,8.9,21.110001,41.879997,108.39999,299.72
Europe and Central Asia,2013,7.61,19.91,40.039997,104.98,309.80002
Europe and Central Asia,2015,7.13,19.040001,41.950005,109.71,309.20999
South Asia,1983,409.328613,228.94019,81.566895,21.810974,5.303332
South Asia,1987,408.315948,282.55832,105.81335,28.873352,8.929026
South Asia,1993,432.092926,331.93704,133.60394,36.934265,7.631824
South Asia,2004,429.847626,417.00967,195.16003,64.527832,19.594833
South Asia,2009,382.465485,478.4819,254.81287,88.630615,26.58913
South Asia,2011,268.14975,494.74454,333.57678,124.5387,42.060234
Latin America and the Caribbean,1981,49.540001,50.059998,72.019997,80.020004,116.07
Latin America and the Caribbean,1984,64.790001,59.879997,76.380005,80.569992,110.44
Latin America and the Caribbean,1987,56.34,57.490002,81.919998,91.48999,129.21001
Latin America and the Caribbean,1990,65.459999,62.510002,89.240005,99.36998,124.24001
Latin America and the Caribbean,1993,65.019997,66.120003,97.320007,108.02,128.84999
Latin America and the Caribbean,1996,67.080002,68.099991,100.29001,112.14999,141.81
Latin America and the Caribbean,1999,69.410004,68.919998,102.74001,121.13,150.49998
Latin America and the Caribbean,2002,63.09,69.669998,108.02,129.89001,164.02998
Latin America and the Caribbean,2005,54.990002,63.749996,108.62,138.64,189.96001
Latin America and the Caribbean,2008,39.810001,50.749996,101.42,149.15001,236.34999
Latin America and the Caribbean,2010,36.259998,47.02,100.21001,152.08,256.22
Latin America and the Caribbean,2011,34.110001,44.43,98.519997,153.29999,268.53003
Latin America and the Caribbean,2012,28.639999,43.620003,95.909996,153.47002,284.28998
Latin America and the Caribbean,2013,27.969999,42.059998,96.660004,153.5,292.72
Latin America and the Caribbean,2015,24.32,41.959999,98.350006,160.29001,301.64999
South Asia,2002,0.028971,0.084651,0.104574,0.052258,0.019546
South Asia,2009,0.026136,0.061776,0.10746,0.11304,0.051588
Middle East and North Africa,1984,17.1,44.400002,57.989998,43.580009,28.339993
