Entity,Code,World Region according to the World Bank
Aruba,ABW,Latin America and Caribbean
Afghanistan,AFG,South Asia
Angola,AGO,Sub-Saharan Africa
Albania,ALB,Europe and Central Asia
Andorra,AND,Europe and Central Asia
United Arab Emirates,ARE,Middle East and North Africa
Argentina,ARG,Latin America and Caribbean
Armenia,ARM,Europe and Central Asia
American Samoa,ASM,East Asia and Pacific
Antigua and Barbuda,ATG,Latin America and Caribbean
Australia,AUS,East Asia and Pacific
Austria,AUT,Europe and Central Asia
Azerbaijan,AZE,Europe and Central Asia
Burundi,BDI,Sub-Saharan Africa
Belgium,BEL,Europe and Central Asia
Benin,BEN,Sub-Saharan Africa
Burkina Faso,BFA,Sub-Saharan Africa
Bangladesh,BGD,South Asia
Bulgaria,BGR,Europe and Central Asia
Bahrain,BHR,Middle East and North Africa
Bahamas,BHS,Latin America and Caribbean
Bosnia and Herzegovina,BIH,Europe and Central Asia
Belarus,BLR,Europe and Central Asia
Belize,BLZ,Latin America and Caribbean
Bermuda,BMU,North America
Bolivia,BOL,Latin America and Caribbean
Brazil,BRA,Latin America and Caribbean
Barbados,BRB,Latin America and Caribbean
Brunei,BRN,East Asia and Pacific
Bhutan,BTN,South Asia
Botswana,BWA,Sub-Saharan Africa
Central African Republic,CAF,Sub-Saharan Africa
Canada,CAN,North America
Switzerland,CHE,Europe and Central Asia
Chile,CHL,Latin America and Caribbean
China,CHN,East Asia and Pacific
Cote d'Ivoire,CIV,Sub-Saharan Africa
Cameroon,CMR,Sub-Saharan Africa
Democratic Republic of Congo,COD,Sub-Saharan Africa
Congo,COG,Sub-Saharan Africa
Colombia,COL,Latin America and Caribbean
Comoros,COM,Sub-Saharan Africa
Cape Verde,CPV,Sub-Saharan Africa
Costa Rica,CRI,Latin America and Caribbean
Cuba,CUB,Latin America and Caribbean
Curacao,CUW,Latin America and Caribbean
Cayman Islands,CYM,Latin America and Caribbean
Cyprus,CYP,Europe and Central Asia
Czechia,CZE,Europe and Central Asia
Germany,DEU,Europe and Central Asia
Djibouti,DJI,Middle East and North Africa
Dominica,DMA,Latin America and Caribbean
Denmark,DNK,Europe and Central Asia
Dominican Republic,DOM,Latin America and Caribbean
Algeria,DZA,Middle East and North Africa
Ecuador,ECU,Latin America and Caribbean
Egypt,EGY,Middle East and North Africa
Eritrea,ERI,Sub-Saharan Africa
Spain,ESP,Europe and Central Asia
Estonia,EST,Europe and Central Asia
Ethiopia,ETH,Sub-Saharan Africa
Finland,FIN,Europe and Central Asia
Fiji,FJI,East Asia and Pacific
France,FRA,Europe and Central Asia
Faeroe Islands,FRO,Europe and Central Asia
